2021-09-24 14:51:16.940 [main] INFO  com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/wangyuelong/nacos/config
2021-09-24 14:51:16.961 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2021-09-24 14:51:17.065 [main] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[website] & group[dev]
2021-09-24 14:51:17.103 [main] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[website.yml] & group[dev]
2021-09-24 14:51:17.140 [main] INFO  com.alibaba.nacos.client.config.utils.JVMUtil - isMultiInstance:false
2021-09-24 14:51:17.147 [main] INFO  org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-website-dev.yml,dev'}, BootstrapPropertySource {name='bootstrapProperties-website.yml,dev'}, BootstrapPropertySource {name='bootstrapProperties-website,dev'}]
2021-09-24 14:51:17.152 [main] INFO  com.codezero.website.WebsiteApplication - The following profiles are active: dev
2021-09-24 14:51:17.660 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=cb7d07c9-64dd-301d-a217-ea64b417c76b
2021-09-24 14:51:17.737 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 14:51:17.905 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-09-24 14:51:17.912 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-09-24 14:51:17.913 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-24 14:51:17.913 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-09-24 14:51:18.039 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-24 14:51:18.040 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 866 ms
2021-09-24 14:51:18.428 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-24 14:51:18.428 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-24 14:51:18.431 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-24 14:51:18.432 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-24 14:51:18.536 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-24 14:51:18.664 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2021-09-24 14:51:18.674 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-09-24 14:51:18.675 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2021-09-24 14:51:18.676 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-09-24 14:51:18.881 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-09-24 14:51:18.913 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2021-09-24 14:51:18.915 [main] INFO  com.alibaba.nacos.client.naming - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"10.32.17.52","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8001,"scheduled":false,"serviceName":"dev@@WebsiteService","stopped":false,"weight":1.0} to beat map.
2021-09-24 14:51:18.985 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] 2e8b2822-4ed2-4783-a312-3b2be270e9f2 registering service dev@@WebsiteService with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"10.32.17.52","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":8001,"weight":1.0}
2021-09-24 14:51:19.038 [main] INFO  com.alibaba.cloud.nacos.registry.NacosServiceRegistry - nacos registry, dev WebsiteService 10.32.17.52:8001 register finished
2021-09-24 14:51:19.044 [main] INFO  com.codezero.website.WebsiteApplication - Started WebsiteApplication in 2.986 seconds (JVM running for 4.159)
